id,on_street,cross_street,routes,routes_total,boardings,alightings,month_beginning,daytype,location
5870,HALSTED,74TH STREET,8,1,333.9,122.8,10/1/12,Weekday,"(41.75964941, -87.64418403)"
328,ROOSEVELT,CLINTON,"12,18,N62",3,97.7,122.8,10/1/12,Weekday,"(41.86735198, -87.64057609)"
821,GRAND,CICERO,65,1,55.1,122.8,10/1/12,Weekday,"(41.91397719, -87.74578600)"
15765,NARRAGANSETT,MONTROSE,86,1,501,122.7,10/1/12,Weekday,"(41.95991424, -87.78688313)"
10916,RACINE,76TH STREET,"44,75",2,200.5,122.6,10/1/12,Weekday,"(41.75623339, -87.65380187)"
354,ROOSEVELT,SACRAMENTO,12,1,105.2,122.5,10/1/12,Weekday,"(41.86653975, -87.70064598)"
2569,COTTAGE GROVE,MARQUETTE RD,4,1,61.3,122.5,10/1/12,Weekday,"(41.77504870, -87.60592023)"
6400,26TH STREET,HOMAN,60,1,55.3,122.5,10/1/12,Weekday,"(41.84450344, -87.70970031)"
15275,IRVING PARK,SOUTHPORT,"9,80",2,230.2,122.4,10/1/12,Weekday,"(41.95441806, -87.66467067)"
5841,HALSTED,59TH STREET,8,1,162.9,122.4,10/1/12,Weekday,"(41.78711121, -87.64507759)"
7161,47TH STREET,VINCENNES,47,1,52,122.4,10/1/12,Weekday,"(41.80935598, -87.61394324)"
1042,SHERIDAN,FOSTER,151,1,333.4,122.3,10/1/12,Weekday,"(41.97621300, -87.65506900)"
10519,55TH STREET,WESTERN AVENUE,55,1,329.3,122.3,10/1/12,Weekday,"(41.79379565, -87.68423918)"
6089,ASHLAND,GARFIELD (south leg),9,1,222.6,122.3,10/1/12,Weekday,"(41.79350100, -87.66472358)"
6728,SEDGWICK,ARMITAGE/LINCOLN,11,1,35.4,122.2,10/1/12,Weekday,"(41.91809132, -87.63874388)"
15803,RACINE,79TH STREET,44,1,226.8,122.1,10/1/12,Weekday,"(41.75075981, -87.65365408)"
16103,ROOSEVELT,LOOMIS,12,1,107.7,122.1,10/1/12,Weekday,"(41.86681081, -87.66133342)"
23,JACKSON,PULASKI,126,1,239.9,122,10/1/12,Weekday,"(41.87704003, -87.72532923)"
367,ROOSEVELT,KEELER,12,1,45.2,122,10/1/12,Weekday,"(41.86618436, -87.72995235)"
782,GRAND,NOBLE,65,1,80.4,121.9,10/1/12,Weekday,"(41.89108116, -87.66209990)"
6270,ASHLAND,WELLINGTON,9,1,77.5,121.9,10/1/12,Weekday,"(41.93596000, -87.66845000)"
8076,47TH STREET,UNION,47,1,63.8,121.8,10/1/12,Weekday,"(41.80896613, -87.64299264)"
15290,SHERIDAN 3900N,BROADWAY,151,1,53.5,121.8,10/1/12,Weekday,"(41.95268972, -87.64980437)"
3768,LAWRENCE,MALDEN,81,1,20.5,121.8,10/1/12,Weekday,"(41.96890352, -87.66313317)"
2629,79TH STREET,DREXEL,79,1,282.6,121.7,10/1/12,Weekday,"(41.75136397, -87.60263701)"
11530,CENTRAL,IRVING PARK,85,1,243.7,121.7,10/1/12,Weekday,"(41.95332086, -87.76709588)"
17064,MILWAUKEE,AINSLIE,"81W,91",2,4,121.7,10/1/12,Weekday,"(41.96835743, -87.76102643)"
597,CHICAGO,MIES VAN DER ROHE,"3,26,66,157",4,841,121.5,10/1/12,Weekday,"(41.89683816, -87.62170867)"
874,NORTH AVENUE,KOSTNER,72,1,189.3,121.5,10/1/12,Weekday,"(41.90964600, -87.73650300)"
3450,63RD STREET,KENWOOD,63,1,16.5,121.5,10/1/12,Weekday,"(41.78046643, -87.59319963)"
9073,PULASKI,CERMAK,53,1,387.6,121.4,10/1/12,Weekday,"(41.85188676, -87.72465310)"
14503,KEDZIE,ARCHER,52,1,180.9,121.4,10/1/12,Weekday,"(41.81451483, -87.70413735)"
11363,MONTROSE,MARINE DRIVE,78,1,77.3,121.4,10/1/12,Weekday,"(41.96196303, -87.64720146)"
8294,WESTERN,66TH STREET,49,1,36.6,121.4,10/1/12,Weekday,"(41.77385400, -87.68352200)"
4070,CORTLAND,ASHLAND,73,1,128.8,121.3,10/1/12,Weekday,"(41.91601775, -87.66812848)"
193,HARRISON,ASHLAND,7,1,104.4,121.3,10/1/12,Weekday,"(41.87410558, -87.66679370)"
2987,131ST STREET,ST. LAWRENCE,34,1,29.8,121.3,10/1/12,Weekday,"(41.65736640, -87.60769442)"
14580,WESTERN,ARCHER,49,1,266.5,121.2,10/1/12,Weekday,"(41.82648060, -87.68482484)"
11205,32ND STREET,LAWNDALE,82,1,9,121.2,10/1/12,Weekday,"(41.83512744, -87.71681944)"
15456,ASHLAND,81ST STREET,9,1,208,121.1,10/1/12,Weekday,"(41.74692475, -87.66321660)"
2304,STATE,59TH STREET,29,1,101.7,121.1,10/1/12,Weekday,"(41.78712000, -87.62540700)"
1310,FULLERTON,KOSTNER,74,1,205.6,121,10/1/12,Weekday,"(41.92430700, -87.73667700)"
5392,STATE,ELM,36,1,62.6,121,10/1/12,Weekday,"(41.90305500, -87.62850800)"
10593,GARFIELD,LOWE,55,1,47.6,121,10/1/12,Weekday,"(41.79442323, -87.64152597)"
2265,95TH STREET,EBERHART,"3,N5,95E,111",4,32.4,121,10/1/12,Weekday,"(41.72186175, -87.61183041)"
4894,MARINE DRIVE,WILSON,"136,144,146",3,21.6,120.9,10/1/12,Weekday,"(41.96539222, -87.64851311)"
14444,BROADWAY,GRANVILLE,36,1,182.7,120.8,10/1/12,Weekday,"(41.99438051, -87.66051018)"
10251,CICERO,HARRISON,54,1,43.4,120.8,10/1/12,Weekday,"(41.87327506, -87.74510303)"
9509,87TH STREET,DAMEN/BEVERLY,87,1,40.5,120.8,10/1/12,Weekday,"(41.73577063, -87.67266200)"
14513,CHICAGO,LARAMIE,66,1,468.4,120.7,10/1/12,Weekday,"(41.89486496, -87.75533525)"
17119,103RD STREET,COTTAGE GROVE,106,1,81.1,120.7,10/1/12,Weekday,"(41.70737993, -87.60614836)"
7541,MICHIGAN,108TH STREET,"34,119",2,30,120.7,10/1/12,Weekday,"(41.69816980, -87.62095222)"
15377,ROOSEVELT,CLARK,"12,18,N62",3,316.1,120.6,10/1/12,Weekday,"(41.86748977, -87.63083778)"
3745,LAWRENCE,ST. LOUIS,81,1,98.7,120.6,10/1/12,Weekday,"(41.96829149, -87.71592025)"
978,NORTH AVENUE,LECLAIRE (north leg),72,1,47.7,120.6,10/1/12,Weekday,"(41.90964664, -87.75252072)"
12878,PULASKI,94TH STREET,53A,1,12.6,120.5,10/1/12,Weekday,"(41.72233949, -87.72145519)"
3048,KEDZIE,13TH STREET,52,1,35,120.4,10/1/12,Weekday,"(41.86465100, -87.70568100)"
1040,SHERIDAN,BALMORAL,"136,147,151",3,426,120.3,10/1/12,Weekday,"(41.97978245, -87.65515521)"
14977,HALSTED,103RD STREET,"8A,108",2,204.4,120.3,10/1/12,Weekday,"(41.70673806, -87.64295170)"
6202,ASHLAND,42ND STREET (north leg),9,1,147,120.3,10/1/12,Weekday,"(41.81800076, -87.66498787)"
15852,MADISON,KARLOV,20,1,100.2,120.3,10/1/12,Weekday,"(41.88059058, -87.72786002)"
3434,63RD STREET,MICHIGAN,63,1,67.3,120.3,10/1/12,Weekday,"(41.77997097, -87.62227473)"
4929,IRVING PARK,PINE GROVE,"135,145,148",3,7.7,120.3,10/1/12,Weekday,"(41.95464821, -87.64814180)"
15288,ADAMS,CLINTON,156,1,2.9,120.3,10/1/12,Weekday,"(41.87935047, -87.64096980)"
2633,79TH STREET,EBERHART,79,1,186.2,120.1,10/1/12,Weekday,"(41.75120200, -87.61232700)"
1799,CLARK,EDGEWATER,22,1,90.6,120.1,10/1/12,Weekday,"(41.98604146, -87.66944961)"
11324,MONTROSE,CICERO,"54,78",2,628.6,120,10/1/12,Weekday,"(41.96064775, -87.74771912)"
5391,STATE,BELLEVUE,36,1,71.9,120,10/1/12,Weekday,"(41.90175500, -87.62826800)"
9236,BELMONT,HARLEM,77,1,359.8,119.8,10/1/12,Weekday,"(41.93792525, -87.80695291)"
11075,DIVERSEY,HAMLIN,76,1,41.6,119.7,10/1/12,Weekday,"(41.93191698, -87.72179375)"
7058,S. SHORE DRIVE,77TH STREET,"N5,6,26,71",4,60.1,119.5,10/1/12,Weekday,"(41.75689547, -87.55339915)"
17214,PULASKI,FERDINAND,53,1,52,119.5,10/1/12,Weekday,"(41.89004580, -87.72583368)"
2355,STATE,9TH STREET,"29,62,129,130,146",5,210.9,119.4,10/1/12,Weekday,"(41.87040500, -87.62736800)"
9330,BELMONT,LOCKWOOD,77,1,55.1,119.4,10/1/12,Weekday,"(41.93873607, -87.75905550)"
8216,WESTERN,WABANSIA (south leg),49,1,51.9,119.4,10/1/12,Weekday,"(41.91220603, -87.68740160)"
15030,ARCHER,POPE JOHN PAUL II/43RD ST,62,1,47.7,119.4,10/1/12,Weekday,"(41.81519830, -87.70260693)"
1345,FULLERTON,RACINE,74,1,33.5,119.4,10/1/12,Weekday,"(41.92526027, -87.65861136)"
2592,COTTAGE GROVE,89TH STREET,4,1,21.7,119.4,10/1/12,Weekday,"(41.73314300, -87.60483000)"
4464,ARCHER,CERMAK/PRINCETON,62,1,537.4,119.3,10/1/12,Weekday,"(41.85300008, -87.63475792)"
2943,115TH STREET,HALSTED,111,1,207,119.3,10/1/12,Weekday,"(41.68501272, -87.64233559)"
10981,DIVERSEY,CENTRAL,76,1,199.9,119.3,10/1/12,Weekday,"(41.93120866, -87.76637739)"
14564,MILWAUKEE,ARMITAGE,56,1,215.4,119.2,10/1/12,Weekday,"(41.91772538, -87.68871227)"
14791,CLARK,BALMORAL,22,1,81.3,119.2,10/1/12,Weekday,"(41.98001617, -87.66819996)"
5197,RACINE,83RD STREET,44,1,25.8,119.2,10/1/12,Weekday,"(41.74331597, -87.65363316)"
1905,CLARK,LINCOLN,"22,36,73",3,127.9,119.1,10/1/12,Weekday,"(41.91553014, -87.63418738)"
967,NORTH AVENUE,KARLOV,72,1,56.5,119.1,10/1/12,Weekday,"(41.90994926, -87.72867425)"
15521,KEDZIE,80TH STREET,52A,1,137,119,10/1/12,Weekday,"(41.74823218, -87.70226776)"
5878,HALSTED,66TH STREET,8,1,96.3,119,10/1/12,Weekday,"(41.77420382, -87.64453154)"
16080,63RD STREET,PEORIA,63,1,58.7,119,10/1/12,Weekday,"(41.77975861, -87.64743501)"
9583,AUSTIN,GRAND,91,1,121.4,118.9,10/1/12,Weekday,"(41.92069993, -87.77570294)"
11091,DIVERSEY,LONG,76,1,26.6,118.8,10/1/12,Weekday,"(41.93142174, -87.76125029)"
8408,WESTERN,SCHUBERT,49,1,73,118.7,10/1/12,Weekday,"(41.93024132, -87.68770221)"
3523,HOWARD,DODGE-CALIFORNIA,97,1,71.3,118.7,10/1/12,Weekday,"(42.01939922, -87.69942136)"
4893,MARINE DRIVE,MONTROSE,"136,144,146",3,5.8,118.6,10/1/12,Weekday,"(41.96157553, -87.64676529)"
2909,111TH STREET,MICHIGAN,111,1,276,118.5,10/1/12,Weekday,"(41.69267361, -87.62129366)"
5093,HALSTED,EXCHANGE,"8,43,44",3,81.6,118.5,10/1/12,Weekday,"(41.81851810, -87.64570034)"
5761,HALSTED,ALDINE,8,1,260.8,118.4,10/1/12,Weekday,"(41.94188300, -87.64939500)"
6111,ASHLAND,76TH STREET,9,1,50,118.4,10/1/12,Weekday,"(41.75592748, -87.66370353)"
10408,CICERO,28TH STREET,"35,54B",2,54.6,118.3,10/1/12,Weekday,"(41.84287027, -87.74378696)"
3447,63RD STREET,UNIVERSITY (east leg),63,1,39.1,118.3,10/1/12,Weekday,"(41.78045300, -87.59743200)"
4096,CORTLAND,ASHLAND,"33,73",2,103,118.2,10/1/12,Weekday,"(41.91616021, -87.66829596)"
11930,93RD STREET,WOODLAWN,"N5,95E",2,70.7,118.2,10/1/12,Weekday,"(41.72578706, -87.59499288)"
10947,75TH STREET,BLACKSTONE,75,1,14.2,118.2,10/1/12,Weekday,"(41.75866900, -87.58849000)"
11692,NARRAGANSETT,ADDISON,86,1,48.3,118.1,10/1/12,Weekday,"(41.94576376, -87.78638324)"
10622,55TH STREET,ST. LOUIS,55,1,38,118.1,10/1/12,Weekday,"(41.79347150, -87.71137990)"
1885,DEARBORN,WACKER & LAKE,"22,36,62",3,625.6,118,10/1/12,Weekday,"(41.88618357, -87.62939635)"
1841,CLARK,DICKENS,"22,36",2,184.1,118,10/1/12,Weekday,"(41.92021774, -87.63733631)"
9024,PULASKI,IOWA,53,1,71.7,117.8,10/1/12,Weekday,"(41.89731967, -87.72624436)"
8160,47TH STREET,DAMEN,"47,48",2,198.9,117.7,10/1/12,Weekday,"(41.80844666, -87.67483486)"
14987,SHERIDAN,NOYES,201,1,37.6,117.7,10/1/12,Weekday,"(42.05823934, -87.67692648)"
10409,CICERO,24TH PLACE,"54B,N60",2,7.9,117.7,10/1/12,Weekday,"(41.84649936, -87.74397937)"
1607,MICHIGAN,31ST STREET,"1,4",2,100.3,117.6,10/1/12,Weekday,"(41.83819038, -87.62359131)"
5460,MILWAUKEE,RIDGEWAY (east leg),56,1,97.8,117.6,10/1/12,Weekday,"(41.93592300, -87.71879000)"
10009,KEDZIE,64TH STREET,52A,1,62.8,117.5,10/1/12,Weekday,"(41.77708835, -87.70301053)"
11150,KIMBALL,PALMER,82,1,56.4,117.5,10/1/12,Weekday,"(41.92109000, -87.71205800)"
5586,MILWAUKEE,MONTROSE,56,1,51.3,117.5,10/1/12,Weekday,"(41.96051336, -87.75428226)"
4987,BELMONT,ORCHARD,"77,151,156",3,44,117.5,10/1/12,Weekday,"(41.93995346, -87.64692439)"
833,GRAND,AUSTIN,65,1,35.3,117.5,10/1/12,Weekday,"(41.92061241, -87.77547362)"
2838,COTTAGE GROVE,112TH STREET,111,1,33.4,117.5,10/1/12,Weekday,"(41.69107300, -87.61037400)"
14854,CALIFORNIA,63RD STREET,94,1,333,117.4,10/1/12,Weekday,"(41.77927614, -87.69332656)"
871,NORTH AVENUE,KILPATRICK,72,1,262,117.4,10/1/12,Weekday,"(41.90955069, -87.74377559)"
1958,CLARK,ALBION,22,1,68.2,117.4,10/1/12,Weekday,"(42.00162569, -87.67173333)"
6404,26TH STREET,HAMLIN,60,1,24.5,117.4,10/1/12,Weekday,"(41.84437241, -87.71957930)"
6389,BLUE ISLAND,WESTERN,60,1,269.5,117.3,10/1/12,Weekday,"(41.84503825, -87.68512623)"
4773,FOSTER,KEDZIE,92,1,183.2,117.3,10/1/12,Weekday,"(41.97568143, -87.70886637)"
5054,RACINE,74TH STREET,"44,75",2,236.6,117.2,10/1/12,Weekday,"(41.75948300, -87.65386600)"
7045,67TH STREET,CRANDON,"6,26,67",3,13.6,117.1,10/1/12,Weekday,"(41.77348241, -87.57013169)"
17187,CERMAK,CENTRAL PARK,21,1,88.1,117,10/1/12,Weekday,"(41.85158880, -87.71478941)"
12547,ADDISON,PINE GROVE,152,1,1.4,117,10/1/12,Weekday,"(41.94784445, -87.64559570)"
2979,95TH STREET,ST. LAWRENCE,"N5,95E,100,111",4,168.2,116.9,10/1/12,Weekday,"(41.72207767, -87.60922056)"
4983,LASALLE,CHICAGO,156,1,165.4,116.9,10/1/12,Weekday,"(41.89686502, -87.63259254)"
9258,BELMONT,LECLAIRE,77,1,143.1,116.9,10/1/12,Weekday,"(41.93866900, -87.75434500)"
10596,GARFIELD,PEORIA,55,1,42.3,116.9,10/1/12,Weekday,"(41.79431871, -87.64797068)"
665,CHICAGO,WALLER,66,1,12.5,116.9,10/1/12,Weekday,"(41.89489832, -87.76766308)"
10226,CICERO,GRAND,54,1,72.7,116.8,10/1/12,Weekday,"(41.91417160, -87.74613314)"
3024,KEDZIE,CHICAGO,52,1,464.7,116.7,10/1/12,Weekday,"(41.89536600, -87.70663100)"
5338,BROADWAY,RIDGE/BRYN MAWR,36,1,330.5,116.7,10/1/12,Weekday,"(41.98386961, -87.66018589)"
2326,STATE,PERSHING,29,1,95,116.7,10/1/12,Weekday,"(41.82361194, -87.62629943)"
15358,STATE,CULLERTON,29,1,68.1,116.7,10/1/12,Weekday,"(41.85526047, -87.62725553)"
14124,PULASKI/51ST,ORANGE LINE STATION,53A,1,812.4,116.6,10/1/12,Weekday,"(41.80024459, -87.72440024)"
9112,PULASKI,CORTLAND,53,1,109.5,116.5,10/1/12,Weekday,"(41.91525600, -87.72642300)"
15090,MADISON,WOOD,20,1,89.8,116.5,10/1/12,Weekday,"(41.88146205, -87.67192275)"
247,HARRISON,LEAMINGTON,"7,57",2,54.8,116.5,10/1/12,Weekday,"(41.87305352, -87.75320123)"
2317,STATE,47TH STREET,29,1,143.3,116.2,10/1/12,Weekday,"(41.80908000, -87.62597000)"
9327,BELMONT,LAVERGNE,77,1,35.9,116.2,10/1/12,Weekday,"(41.93882504, -87.75168615)"
6632,TAYLOR,LOOMIS,157,1,27.1,116.2,10/1/12,Weekday,"(41.86939688, -87.66149318)"
6361,CLINTON,JACKSON,"7,60,126,157,192",5,600.3,116.1,10/1/12,Weekday,"(41.87814000, -87.64115100)"
10156,69TH STREET,PAULINA,67,1,102.8,116.1,10/1/12,Weekday,"(41.76845728, -87.66642039)"
7903,CHICAGO,ORLEANS,66,1,353.5,116,10/1/12,Weekday,"(41.89664384, -87.63741076)"
3159,KEDZIE,JACKSON,52,1,122.1,116,10/1/12,Weekday,"(41.87724100, -87.70593800)"
1760,DEVON,GLENWOOD,"36,151,155",3,37.3,115.9,10/1/12,Weekday,"(41.99820753, -87.66519260)"
5413,BROADWAY,N. SHERIDAN (1000 W.),36,1,53.3,115.8,10/1/12,Weekday,"(41.96102099, -87.65457267)"
9496,87TH STREET,UNION,87,1,28.3,115.8,10/1/12,Weekday,"(41.73618584, -87.64109786)"
6189,ASHLAND,GARFIELD (north leg),9,1,206.9,115.7,10/1/12,Weekday,"(41.79414887, -87.66443238)"
6897,CERMAK,LARAMIE,"21,N60",2,61,115.7,10/1/12,Weekday,"(41.85122906, -87.75383172)"
602,CHICAGO,DEARBORN,66,1,424.4,115.6,10/1/12,Weekday,"(41.89671904, -87.62960444)"
15403,RACINE,ROOSEVELT,60,1,120.5,115.5,10/1/12,Weekday,"(41.86678900, -87.65676754)"
3444,63RD STREET,INGLESIDE (west leg),63,1,49.2,115.5,10/1/12,Weekday,"(41.78037000, -87.60255800)"
366,ROOSEVELT,KARLOV,12,1,40,115.5,10/1/12,Weekday,"(41.86620917, -87.72754305)"
17138,IRVING PARK,KILDARE,"54A,80",2,87.9,115.4,10/1/12,Weekday,"(41.95366876, -87.73566146)"
721,GRAND,WESTERN,65,1,82.2,115.4,10/1/12,Weekday,"(41.89056857, -87.68684427)"
5856,HALSTED,72ND STREET,8,1,47.8,115.3,10/1/12,Weekday,"(41.76344960, -87.64445687)"
5816,HALSTED,29TH STREET,8,1,21.2,115.3,10/1/12,Weekday,"(41.84171417, -87.64646367)"
10618,55TH STREET,ALBANY,55,1,21.5,115.2,10/1/12,Weekday,"(41.79359600, -87.70120100)"
6107,ASHLAND,72ND STREET,9,1,60.5,115.1,10/1/12,Weekday,"(41.76316390, -87.66386832)"
10038,KEDZIE,95TH STREET,52A,1,23.6,115.1,10/1/12,Weekday,"(41.72093547, -87.70207191)"
3243,63RD STREET,LOOMIS,63,1,40.1,114.9,10/1/12,Weekday,"(41.77957206, -87.65925900)"
1833,CLARK,SCHUBERT,"22,36",2,350.8,114.8,10/1/12,Weekday,"(41.93190700, -87.64464400)"
5836,HALSTED,GARFIELD (north leg),8,1,145.9,114.7,10/1/12,Weekday,"(41.79440716, -87.64525913)"
17129,NORTH AVENUE,HUMBOLDT,72,1,69.9,114.7,10/1/12,Weekday,"(41.91027925, -87.70244610)"
5855,HALSTED,71ST STREET,8,1,52.6,114.7,10/1/12,Weekday,"(41.76533200, -87.64447200)"
11162,HOMAN,AUGUSTA,82,1,75.4,114.6,10/1/12,Weekday,"(41.89922500, -87.71162600)"
7258,91ST STREET,BUFFALO,"26,30,95E",3,36.1,114.6,10/1/12,Weekday,"(41.73009016, -87.54445273)"
8233,WESTERN,WARREN,49,1,112.3,114.5,10/1/12,Weekday,"(41.88219259, -87.68659653)"
283,ROOSEVELT,ALBANY,12,1,50.1,114.5,10/1/12,Weekday,"(41.86634562, -87.70324700)"
410,MADISON,SPRINGFIELD,20,1,193.2,114.4,10/1/12,Weekday,"(41.88069700, -87.72338800)"
5430,BROADWAY,ELMDALE,36,1,53.2,114.4,10/1/12,Weekday,"(41.99104955, -87.66018375)"
11200,LAWNDALE,26TH STREET,82,1,24.7,114.4,10/1/12,Weekday,"(41.84444089, -87.71730174)"
14484,JACKSON,CLINTON,"126, 755",2,152.5,114.3,10/1/12,Weekday,"(41.87795113, -87.64115218)"
817,GRAND,NORTH/KOSTNER,65,1,119,114.3,10/1/12,Weekday,"(41.91025500, -87.73657600)"
1746,PRATT,SHERIDAN,155,1,24.8,114.3,10/1/12,Weekday,"(42.00562643, -87.66118942)"
1343,FULLERTON,SOUTHPORT,74,1,230.8,114.2,10/1/12,Weekday,"(41.92515141, -87.66349448)"
3422,63RD STREET,UNION,63,1,185.9,114.2,10/1/12,Weekday,"(41.77975164, -87.64195389)"
7065,S. SHORE DRIVE,83RD STREET,"N5,26,71",3,68.2,114.1,10/1/12,Weekday,"(41.74485812, -87.54797426)"
14956,MADISON,CENTRAL,20,1,751.4,114,10/1/12,Weekday,"(41.88014099, -87.76461188)"
2042,DIVISION,SEDGWICK,"11,70",2,224.6,113.9,10/1/12,Weekday,"(41.90385300, -87.63820800)"
9490,87TH STREET,LAFAYETTE,87,1,140.7,113.9,10/1/12,Weekday,"(41.73638206, -87.62582752)"
1606,MICHIGAN,3000 SOUTH,"1,4",2,14.8,113.8,10/1/12,Weekday,"(41.84048000, -87.62354500)"
3801,LAWRENCE,ALBANY,81,1,48.9,113.7,10/1/12,Weekday,"(41.96854375, -87.70591784)"
6209,ASHLAND,35TH STREET,9,1,144.7,113.6,10/1/12,Weekday,"(41.83038641, -87.66542064)"
8178,47TH STREET,STATE,47,1,99.3,113.6,10/1/12,Weekday,"(41.80916303, -87.62622416)"
15726,HARLEM,NORTH AVENUE,"90,307",2,85.9,113.6,10/1/12,Weekday,"(41.90901467, -87.80599484)"
12594,ADDISON,KILPATRICK,152,1,14.3,113.6,10/1/12,Weekday,"(41.94623548, -87.74441595)"
480,MADISON,ALBANY (west leg),20,1,64,113.5,10/1/12,Weekday,"(41.88105200, -87.70345700)"
2462,COTTAGE GROVE,95TH STREET,"4,N5,95E",3,663.7,113.4,10/1/12,Weekday,"(41.72240198, -87.60436028)"
2728,79TH STREET,PULASKI,"79,169",2,392.2,113.4,10/1/12,Weekday,"(41.74939638, -87.72149967)"
3803,LAWRENCE,SPAULDING,81,1,120.9,113.4,10/1/12,Weekday,"(41.96848388, -87.71079556)"
7191,STONY ISLAND,76TH STREET,"28,X28",2,104.3,113.4,10/1/12,Weekday,"(41.75701600, -87.58612000)"
2790,79TH STREET,KIMBARK,79,1,40,113.4,10/1/12,Weekday,"(41.75130709, -87.59313957)"
15759,71ST STREET,CRANDON (east leg),71,1,25.3,113.4,10/1/12,Weekday,"(41.76614578, -87.56865501)"
8204,WESTERN,SCHUBERT,49,1,151.3,113.3,10/1/12,Weekday,"(41.93049975, -87.68797934)"
11240,HOMAN,FULTON,82,1,90.3,113.3,10/1/12,Weekday,"(41.88626390, -87.71106961)"
10883,75TH STREET,STATE,75,1,46.8,113.2,10/1/12,Weekday,"(41.75830300, -87.62449200)"
17563,55TH STREET,KENWOOD,"55,171",2,26,113.2,10/1/12,Weekday,"(41.79503478, -87.59301755)"
10336,CICERO,BELLE PLAINE,"54,54A",2,33.8,113.1,10/1/12,Weekday,"(41.95514224, -87.74720492)"
10907,74TH STREET,DAMEN,75,1,0.1,113.1,10/1/12,Weekday,"(41.75952377, -87.67375364)"
10532,GARFIELD,RACINE,55,1,259.7,112.9,10/1/12,Weekday,"(41.79375704, -87.65446380)"
4708,PULASKI,71ST STREET,53A,1,235.4,112.9,10/1/12,Weekday,"(41.76432575, -87.72221258)"
6766,18TH STREET,THROOP,18,1,141.4,112.8,10/1/12,Weekday,"(41.85785400, -87.65899900)"
11572,CENTRAL,ADAMS,85,1,12.5,112.8,10/1/12,Weekday,"(41.87841100, -87.76484800)"
3467,95TH STREET,LOOMIS,"N9,95W",2,55.4,112.7,10/1/12,Weekday,"(41.72133700, -87.65756700)"
1225,FULLERTON,RED/BROWN/PURPLE LINE STA,"11,74",2,2356.3,112.6,10/1/12,Weekday,"(41.92545583, -87.65277085)"
11285,KIMBALL,CARMEN (south leg),82,1,24.6,112.6,10/1/12,Weekday,"(41.97263877, -87.71336872)"
2210,KING DRIVE,43RD STREET,3,1,203.5,112.5,10/1/12,Weekday,"(41.81650831, -87.61691282)"
9661,AUSTIN,ADDISON,91,1,89.2,112.5,10/1/12,Weekday,"(41.94568400, -87.77641900)"
5879,HALSTED,6500 SOUTH,8,1,61,112.5,10/1/12,Weekday,"(41.77640702, -87.64458167)"
5399,BROADWAY,BARRY (north leg),36,1,106,112.4,10/1/12,Weekday,"(41.93788300, -87.64426800)"
11189,CENTRAL PARK,DOUGLAS BLVD,82,1,48.5,112.4,10/1/12,Weekday,"(41.86229939, -87.71548245)"
2544,COTTAGE GROVE,42ND STREET,4,1,89.2,112.3,10/1/12,Weekday,"(41.81877000, -87.60683000)"
6420,VINCENNES,95TH STREET,112,1,56.8,112.3,10/1/12,Weekday,"(41.72118294, -87.65059757)"
6640,POLK,DAMEN(east service drive),157,1,13.8,112.2,10/1/12,Weekday,"(41.87153703, -87.67592336)"
11508,PETERSON,CICERO,84,1,11.7,112.2,10/1/12,Weekday,"(41.99000134, -87.74810761)"
12916,PULASKI,76TH STREET,53A,1,107,112.1,10/1/12,Weekday,"(41.75486625, -87.72207513)"
215,HARRISON,ASHLAND,7,1,105.4,112,10/1/12,Weekday,"(41.87427625, -87.66636841)"
6938,CERMAK,LAFLIN,"21,60",2,64.6,112,10/1/12,Weekday,"(41.85230650, -87.66378715)"
5655,IRVING PARK,CAMPBELL,80,1,31.6,112,10/1/12,Weekday,"(41.95390633, -87.69097127)"
14526,75TH STREET,EXCHANGE,71,1,77.8,111.9,10/1/12,Weekday,"(41.75928998, -87.55956205)"
359,ROOSEVELT,ST. LOUIS,12,1,70.9,111.8,10/1/12,Weekday,"(41.86640459, -87.71287363)"
4926,IRVING PARK,PINE GROVE,"80,135,145,148",4,225,111.7,10/1/12,Weekday,"(41.95453100, -87.64770400)"
4640,HALSTED,TAYLOR,8,1,174.3,111.7,10/1/12,Weekday,"(41.86985100, -87.64712500)"
2538,COTTAGE GROVE,38TH STREET,4,1,62.2,111.7,10/1/12,Weekday,"(41.82611917, -87.60809193)"
17245,LAWRENCE,ROCKWELL,81,1,89.7,111.6,10/1/12,Weekday,"(41.96864313, -87.69407677)"
6102,ASHLAND,MARQUETTE RD,9,1,87.2,111.6,10/1/12,Weekday,"(41.77235888, -87.66417077)"
5176,RACINE,63RD STREET,44,1,235.3,111.4,10/1/12,Weekday,"(41.77972004, -87.65459314)"
11084,DIVERSEY,KILPATRICK,76,1,76.5,111.4,10/1/12,Weekday,"(41.93162958, -87.74401579)"
4477,ARCHER,LOCK,62,1,43.8,111.4,10/1/12,Weekday,"(41.84019128, -87.66117695)"
7563,130TH STREET,DANIEL DRIVE,"34,108",2,31.7,111.4,10/1/12,Weekday,"(41.65901927, -87.61519997)"
14626,PULASKI,AUGUSTA,53,1,121,111.3,10/1/12,Weekday,"(41.89892402, -87.72628806)"
2066,DIVISION,OAKLEY,70,1,87.4,111.3,10/1/12,Weekday,"(41.90316398, -87.68438831)"
6112,ASHLAND,77TH STREET,9,1,85.5,111.3,10/1/12,Weekday,"(41.75411340, -87.66361019)"
